,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,país
304,104,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),1,64,6504998,Global_limpio.csv
305,105,"Billie Eilish, Khalid",lovely (with Khalid),24,168,6503803,Global_limpio.csv
306,106,AURORA,Runaway,19,15,6495445,Global_limpio.csv
307,107,Ed Sheeran,Perfect,4,225,6442063,Global_limpio.csv
308,108,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),17,23,6437159,Global_limpio.csv
309,109,Tom Grennan,Little Bit of Love,110,10,6423678,Global_limpio.csv
310,110,"J Balvin, Skrillex",In Da Getto,111,1,6414152,Global_limpio.csv
311,111,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",17,10,6397305,Global_limpio.csv
312,112,Pashanim,Sommergewitter,105,2,6392139,Global_limpio.csv
313,113,"Justin Quiles, Chimbala, Zion & Lennox",Loco,114,5,6385944,Global_limpio.csv
314,114,"P!nk, Willow Sage Hart",Cover Me In Sunshine,59,15,6374344,Global_limpio.csv
315,115,"Shawn Mendes, Camila Cabello",Señorita,1,107,6351553,Global_limpio.csv
316,116,Tate McRae,you broke me first,13,52,6342877,Global_limpio.csv
317,117,Roddy Ricch,late at night,58,5,6304339,Global_limpio.csv
318,118,Tom Odell,Another Love,76,13,6273397,Global_limpio.csv
319,119,"Trippie Redd, Playboi Carti",Miss The Rage (feat. Playboi Carti),19,9,6181634,Global_limpio.csv
320,120,Maroon 5,Memories,2,94,6122422,Global_limpio.csv
321,121,Olivia Rodrigo,hope ur ok,22,7,6093406,Global_limpio.csv
322,122,"Lil Tjay, 6LACK",Calling My Phone,4,21,6092703,Global_limpio.csv
323,123,"Nio Garcia, Flow La Movie",AM,13,13,6077522,Global_limpio.csv
324,124,"MEDUZA, Dermot Kennedy",Paradise (feat. Dermot Kennedy),25,36,6023943,Global_limpio.csv
325,125,"Mc Davi, Mc Pedrinho, Mc Don Juan, DJ 900",Bipolar,79,9,5994410,Global_limpio.csv
326,126,The Neighbourhood,Daddy Issues,99,39,5988979,Global_limpio.csv
327,127,Conan Gray,Heather,12,50,5986367,Global_limpio.csv
328,128,"BANDIDO, Duki, Rei, Tiago PZK","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",129,2,5976747,Global_limpio.csv
329,129,Vance Joy,Riptide,130,34,5964745,Global_limpio.csv
330,130,"Doja Cat, Ariana Grande",I Don't Do Drugs (feat. Ariana Grande),55,2,5912293,Global_limpio.csv
331,131,"Big Red Machine, Taylor Swift",Renegade,132,1,5876058,Global_limpio.csv
332,132,"Dj Guuga, DJ Ivis","Volta Bebê, Volta Neném",71,12,5870285,Global_limpio.csv
333,133,"Ofenbach, Lagique",Wasted Love (feat. Lagique),90,15,5833896,Global_limpio.csv
334,134,"Matheus Fernandes, Dilsinho",Baby Me Atende,135,4,5828531,Global_limpio.csv
335,135,Maluma,Hawái,2,49,5822408,Global_limpio.csv
336,136,Queen,Bohemian Rhapsody - Remastered 2011,11,147,5810584,Global_limpio.csv
337,137,Travis Scott,goosebumps,13,204,5789376,Global_limpio.csv
338,138,"Lady Gaga, Bradley Cooper",Shallow,3,145,5759898,Global_limpio.csv
339,139,TWICE,Alcohol-Free,80,4,5758961,Global_limpio.csv
340,140,Hozier,Take Me To Church,108,39,5721795,Global_limpio.csv
341,141,DaBaby,Ball If I Want To,120,2,5714775,Global_limpio.csv
342,142,Imagine Dragons,Follow You,75,17,5679082,Global_limpio.csv
343,143,Fleetwood Mac,Dreams - 2004 Remaster,20,41,5671669,Global_limpio.csv
344,144,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),1,48,5656634,Global_limpio.csv
345,145,Ariana Grande,34+35,5,36,5653307,Global_limpio.csv
346,146,DaBaby,Red Light Green Light,133,2,5652129,Global_limpio.csv
347,147,"Cochise, $NOT",Tell Em,110,6,5639206,Global_limpio.csv
348,148,Billie Eilish,bad guy,1,119,5631211,Global_limpio.csv
349,149,Avicii,The Nights,44,17,5621742,Global_limpio.csv
350,150,Juice WRLD,Lucid Dreams,3,165,5563134,Global_limpio.csv
351,151,Coldplay,Yellow,121,29,5527728,Global_limpio.csv
352,152,Avicii,Wake Me Up,13,44,5512661,Global_limpio.csv
353,153,James Arthur,Say You Won't Let Go,7,234,5484469,Global_limpio.csv
354,154,The Killers,Mr. Brightside,148,56,5450209,Global_limpio.csv
355,155,Harry Styles,Adore You,6,83,5448137,Global_limpio.csv
356,156,Nirvana,Smells Like Teen Spirit,157,27,5421684,Global_limpio.csv
357,157,"MC Zaquin, MC Rick",Não Nasceu pra Namorar,158,2,5418911,Global_limpio.csv
358,158,"Tyler, The Creator, Lil Uzi Vert, Pharrell Williams",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),40,2,5392334,Global_limpio.csv
359,159,KSI,Holiday,76,3,5384305,Global_limpio.csv
360,160,"Powfu, beabadoobee",death bed (coffee for your head),4,73,5361658,Global_limpio.csv
361,161,OneRepublic,Counting Stars,147,21,5351747,Global_limpio.csv
362,162,Bo Burnham,All Eyes On Me,152,2,5347263,Global_limpio.csv
363,163,"DJ Khaled, Lil Baby, Lil Durk",EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),101,3,5321544,Global_limpio.csv
364,164,SZA,Good Days,5,28,5307124,Global_limpio.csv
365,165,Queen,Another One Bites The Dust - Remastered 2011,36,76,5264599,Global_limpio.csv
366,166,"StarBoi3, Doja Cat",Dick (feat. Doja Cat),72,10,5258628,Global_limpio.csv
367,167,"Pop Smoke, Lil Baby, DaBaby",For The Night (feat. Lil Baby & DaBaby),7,53,5257152,Global_limpio.csv
368,168,"Israel & Rodolffo, Wesley Safadão",Faz Amor Comigo Só Hoje - Ao Vivo,169,1,5254618,Global_limpio.csv
369,169,"Drake, Wizkid, Kyla",One Dance,12,103,5252870,Global_limpio.csv
370,170,Pop Smoke,What You Know Bout Love,6,44,5244548,Global_limpio.csv
371,171,The Police,Every Breath You Take,144,30,5239157,Global_limpio.csv
372,172,Lorde,Solar Power,25,4,5234112,Global_limpio.csv
373,173,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",Aloha,95,12,5200116,Global_limpio.csv
374,174,"BLANCO, Sfera Ebbasta",MI FAI IMPAZZIRE,175,2,5194011,Global_limpio.csv
375,175,Polo G,Martin & Gina,80,38,5182724,Global_limpio.csv
376,176,Ariana Grande,7 rings,1,127,5163502,Global_limpio.csv
377,177,Regard,Ride It,12,96,5159845,Global_limpio.csv
378,178,"Topic, A7S",Breaking Me,8,68,5155455,Global_limpio.csv
379,179,John Legend,All of Me,110,123,5153066,Global_limpio.csv
380,180,Sarah Cothran,As the World Caves In,181,1,5149618,Global_limpio.csv
381,181,Billie Eilish,Your Power,4,10,5135380,Global_limpio.csv
382,182,"Alex Rose, Rauw Alejandro",Me Fije,183,3,5122712,Global_limpio.csv
383,183,Rauw Alejandro,Sexo Virtual,184,1,5114701,Global_limpio.csv
384,184,Gusttavo Lima,Ficha Limpa,185,1,5100026,Global_limpio.csv
385,185,"Internet Money, Gunna, Don Toliver, Lil Uzi Vert","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",122,3,5086639,Global_limpio.csv
386,186,"Anne-Marie, Niall Horan",Our Song,100,7,5068705,Global_limpio.csv
387,187,Shouse,Love Tonight (Edit),188,1,5036244,Global_limpio.csv
388,188,Shirin David,Lieben wir,189,1,5029898,Global_limpio.csv
389,189,CJ,Whoopty,8,37,5013017,Global_limpio.csv
390,190,Israel & Rodolffo,Batom de Cereja - Ao Vivo,55,17,5011753,Global_limpio.csv
391,191,"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),11,33,5005018,Global_limpio.csv
392,192,"Gym Class Heroes, Adam Levine",Stereo Hearts (feat. Adam Levine),136,15,4992345,Global_limpio.csv
393,193,Jamie Miller,Here's Your Perfect,194,1,4981946,Global_limpio.csv
394,194,"Rauw Alejandro, Anuel AA",Reloj,32,36,4980155,Global_limpio.csv
395,195,"The Chainsmokers, Halsey",Closer,2,175,4979533,Global_limpio.csv
396,196,sangiovanni,malibu,81,8,4973063,Global_limpio.csv
397,197,"Bizarrap, Eladio Carrion","Eladio Carrion: Bzrp Music Sessions, Vol. 40",101,4,4965913,Global_limpio.csv
398,198,Eminem,The Real Slim Shady,172,11,4943359,Global_limpio.csv
399,199,Arctic Monkeys,Do I Wanna Know?,117,27,4938586,Global_limpio.csv
400,0,Bad Bunny,Yonaguni,1,5,1220431,España_limpio.csv
401,1,Rauw Alejandro,Todo De Ti,1,7,959324,España_limpio.csv
402,2,"J Balvin, Maria Becerra",Qué Más Pues?,3,6,949783,España_limpio.csv
403,3,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,3,2,900612,España_limpio.csv
404,4,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Poblado - Remix,4,3,787452,España_limpio.csv
405,5,"Rauw Alejandro, Mr. Naisgai",2/Catorce,5,13,586463,España_limpio.csv
406,6,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",7,2,527388,España_limpio.csv
407,7,"Sebastian Yatra, Myke Towers",Pareja Del Año,3,12,521948,España_limpio.csv
408,8,"Bad Bunny, Jhayco",DÁKITI,1,36,482026,España_limpio.csv
409,9,"KAROL G, Mariah Angeliq",EL MAKINON,4,15,467672,España_limpio.csv
410,10,Måneskin,Beggin',11,3,453491,España_limpio.csv
411,11,Ryan Castro,Jordan,12,9,453397,España_limpio.csv
412,12,"Los Legendarios, Wisin, Jhayco",Fiel,1,22,445878,España_limpio.csv
413,13,"Wisin, Jhayco, Anuel AA, Los Legendarios, Myke Towers",Fiel - Remix,12,4,433777,España_limpio.csv
414,14,Sech,Sal y Perrea,13,11,371364,España_limpio.csv
415,15,"Gera MX, Christian Nodal",Botella Tras Botella,3,11,361646,España_limpio.csv
416,16,"Crissin, Totoy El Frio, Natan & Shander",Poblado,2,12,352268,España_limpio.csv
417,17,"Myke Towers, Juhn",Bandido,1,30,341143,España_limpio.csv
418,18,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,2,32,340270,España_limpio.csv
419,19,Sech,911,4,22,329488,España_limpio.csv
420,20,"Nio Garcia, Flow La Movie",AM,1,15,328870,España_limpio.csv
421,21,"Mora, Jhayco",512,18,12,319818,España_limpio.csv
422,22,"Blessd, Maluma",IMPOSIBLE - REMIX,13,8,319181,España_limpio.csv
423,23,BTS,Butter,6,7,318142,España_limpio.csv
424,24,Olivia Rodrigo,good 4 u,14,8,300350,España_limpio.csv
425,25,Maluma,Hawái,1,49,275099,España_limpio.csv
426,26,Ñejo,Muy Feliz,27,4,274520,España_limpio.csv
427,27,"Rauw Alejandro, Anuel AA",Reloj,6,37,273830,España_limpio.csv
428,28,"Ozuna, J Balvin, Chencho Corleone",Una Locura,4,44,272937,España_limpio.csv
429,29,"J Balvin, Skrillex",In Da Getto,30,1,269974,España_limpio.csv
430,30,Lil Nas X,MONTERO (Call Me By Your Name),14,15,266088,España_limpio.csv
431,31,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",Aloha,18,18,260199,España_limpio.csv
432,32,"Feid, Sky Rompiendo",CHIMBITA,5,30,246518,España_limpio.csv
433,33,Feid,FUMETEO,22,4,246081,España_limpio.csv
434,34,KAROL G,BICHOTA,2,37,230353,España_limpio.csv
435,35,KAROL G,EL BARCO,21,15,226446,España_limpio.csv
436,36,Andy Rivera,Alguien Más,17,8,225023,España_limpio.csv
437,37,Myke Towers,Explícito,23,24,221316,España_limpio.csv
438,38,"KEVIN ROLDAN, Bryant Myers, Lyanno",HASTA ABAJO,12,60,220749,España_limpio.csv
439,39,"Doja Cat, SZA",Kiss Me More (feat. SZA),27,13,217862,España_limpio.csv
440,40,"Manuel Turizo, Rauw Alejandro, Myke Towers",La Nota,4,39,217312,España_limpio.csv
441,41,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),7,16,213926,España_limpio.csv
442,42,Bad Bunny,TE MUDASTE,4,32,212618,España_limpio.csv
443,43,"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY) (Feat. Tainy),2,50,211364,España_limpio.csv
444,44,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),22,23,200811,España_limpio.csv
445,45,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,2,56,199990,España_limpio.csv
446,46,"Jossef, Jamby El Favo, Eix",Persia - Remix,47,10,199680,España_limpio.csv
447,47,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),27,35,197446,España_limpio.csv
448,48,Bad Bunny,A Tu Merced,23,71,183214,España_limpio.csv
449,49,J Balvin,Tu Veneno,11,16,179471,España_limpio.csv
450,50,Kali Uchis,telepatía,3,21,174759,España_limpio.csv
451,51,"J Balvin, Bad Bunny",LA CANCIÓN,2,106,170955,España_limpio.csv
452,52,The Weeknd,Blinding Lights,12,84,169176,España_limpio.csv
453,53,"NATTI NATASHA, Becky G",Ram Pam Pam,54,10,167384,España_limpio.csv
454,54,Bad Bunny,De Museo,55,1,164798,España_limpio.csv
455,55,"TINI, Maria Becerra",Miénteme,56,9,160155,España_limpio.csv
456,56,"Alex Rose, Rauw Alejandro",Me Fije,57,15,156994,España_limpio.csv
457,57,"Sebastian Yatra, Guaynaa",Chica Ideal,9,38,154696,España_limpio.csv
458,58,"Rochy RD, Myke Towers, Nicki Nicole",Ella No Es Tuya - Remix,6,21,153267,España_limpio.csv
459,59,Boza,Hecha Pa' Mi,5,33,150686,España_limpio.csv
460,60,Måneskin,I WANNA BE YOUR SLAVE,61,3,147773,España_limpio.csv
461,61,Rauw Alejandro,Sexo Virtual,54,2,145448,España_limpio.csv
462,62,"Carlos Vives, Ricky Martin",Canción Bonita,55,12,142400,España_limpio.csv
463,63,Christian Nodal,Aquí Abajo,47,43,141938,España_limpio.csv
464,64,Olivia Rodrigo,deja vu,37,14,139068,España_limpio.csv
465,65,KAROL G,200 COPAS,63,15,139033,España_limpio.csv
466,66,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),38,11,138650,España_limpio.csv
467,67,Boza,Ella,66,6,138207,España_limpio.csv
468,68,"Feid, ICON",PURRITO APA,9,14,136924,España_limpio.csv
469,69,"Arcángel, Jay Wheeler, Miky Woodz",Si Te Veo,54,9,136254,España_limpio.csv
470,70,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,19,61,133815,España_limpio.csv
471,71,"Rauw Alejandro, Camilo",Tattoo - Remix with Camilo,2,52,132226,España_limpio.csv
472,72,Olivia Rodrigo,drivers license,18,26,131822,España_limpio.csv
473,73,"Morat, Danna Paola",Idiota,40,5,131393,España_limpio.csv
474,74,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,75,2,130786,España_limpio.csv
475,75,Ed Sheeran,Bad Habits,68,2,130025,España_limpio.csv
476,76,"Bizarrap, Eladio Carrion","Eladio Carrion: Bzrp Music Sessions, Vol. 40",43,4,129180,España_limpio.csv
477,77,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,3,112,127255,España_limpio.csv
478,78,Silvestre Dangond,Las Locuras Mías,15,37,125339,España_limpio.csv
479,79,"KAROL G, Anuel AA, J Balvin",LOCATION,10,21,124733,España_limpio.csv
480,80,Camilo,Vida de Rico,2,42,124332,España_limpio.csv
481,81,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",Travesuras - Remix,45,17,123597,España_limpio.csv
482,82,"Maluma, Lenny Tavárez, Justin Quiles",Parce (feat. Justin Quiles),5,46,122726,España_limpio.csv
483,83,"Bad Bunny, Tainy",Callaita,1,110,122250,España_limpio.csv
484,84,"Wisin, Myke Towers, Los Legendarios",Mi Niña,14,41,121293,España_limpio.csv
485,85,"Manuel Turizo, Maluma",Amor en Coma,28,13,120792,España_limpio.csv
486,86,"Lunay, Anitta",TODO O NADA,71,5,119768,España_limpio.csv
487,87,Dua Lipa,Don't Start Now,16,88,119583,España_limpio.csv
488,88,Danny Ocean,Me Rehúso,1,237,117267,España_limpio.csv
489,89,BTS,Dynamite,20,46,116901,España_limpio.csv
490,90,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,45,18,116158,España_limpio.csv
491,91,Harry Styles,Watermelon Sugar,55,60,116022,España_limpio.csv
492,92,"ChiChi Peralta, Jandy Feliz",Procura,57,98,115941,España_limpio.csv
493,93,"Camilo, Evaluna Montaner",Machu Picchu,7,19,115743,España_limpio.csv
494,94,"Ozuna, Camilo",Despeinada,4,44,112338,España_limpio.csv
495,95,Bad Bunny,Si Veo a Tu Mamá,2,71,111545,España_limpio.csv
496,96,"KAROL G, Nicki Minaj",Tusa,1,87,110917,España_limpio.csv
497,97,"Piso 21, Maluma",Más De La Una,25,31,109937,España_limpio.csv
498,98,Olivia Rodrigo,traitor,70,7,107978,España_limpio.csv
499,99,Bad Bunny,Si Estuviésemos Juntos,65,85,107627,España_limpio.csv
500,100,"Nicky Jam, Romeo Santos",Fan de Tus Fotos,38,21,107321,España_limpio.csv
501,101,Pablo Alborán,Saturno,83,7,106504,España_limpio.csv
502,102,"Justin Quiles, Chimbala, Zion & Lennox",Loco,103,4,106099,España_limpio.csv
503,103,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",Relación - Remix,6,44,106071,España_limpio.csv
504,104,Bad Bunny,Vete,4,85,105856,España_limpio.csv
505,105,"Camilo, El Alfa",BEBÉ,14,32,105614,España_limpio.csv
506,106,J Balvin,Rojo,1,71,102728,España_limpio.csv
507,107,Olivia Rodrigo,favorite crime,94,7,102681,España_limpio.csv
508,108,Plan B,Es un Secreto,109,23,101795,España_limpio.csv
509,109,Espinoza Paz,Soltero Feliz,110,16,101661,España_limpio.csv
510,110,J Balvin,Azul,3,68,101651,España_limpio.csv
511,111,Olivia Rodrigo,happier,83,7,101452,España_limpio.csv
512,112,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,21,96,100662,España_limpio.csv
513,113,"J Balvin, Jay Wheeler",OTRO FILI,42,4,100625,España_limpio.csv
514,114,Farruko,La Tóxica,4,50,99751,España_limpio.csv
515,115,"Nicky Jam, Myke Towers",Polvo,20,33,98341,España_limpio.csv
516,116,Piso 21,Tan Bonita,79,16,97080,España_limpio.csv
517,117,Camilo,Millones,53,18,96906,España_limpio.csv
518,118,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,70,103,96812,España_limpio.csv
519,119,"J Balvin, Khalid",Otra Noche Sin Ti,16,13,96608,España_limpio.csv
520,120,Christian Nodal,De Los Besos Que Te Di,57,92,95543,España_limpio.csv
521,121,"Micro TDH, Myke Towers",EL TREN,49,9,95496,España_limpio.csv
522,122,KAROL G,"Ay, DiOs Mío!",2,52,95424,España_limpio.csv
523,123,The Weeknd,Save Your Tears,30,27,95043,España_limpio.csv
524,124,"J Balvin, Bad Bunny",QUE PRETENDES,4,106,94247,España_limpio.csv
525,125,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,2,71,93777,España_limpio.csv
526,126,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",No Te Enamores - Remix,20,27,93586,España_limpio.csv
527,127,Manuel Turizo,Quiéreme Mientras Se Pueda,13,62,93334,España_limpio.csv
528,128,Fuego,Una Vaina Loca,127,3,91960,España_limpio.csv
529,129,Tego Calderón,Pa' Que Retozen,130,31,91879,España_limpio.csv
530,130,"Manuel Turizo, Justin Quiles, Dalex",Cosas Malas,80,10,91365,España_limpio.csv
531,131,"Piso 21, Micro TDH",Te Vi,5,134,91079,España_limpio.csv
532,132,Olivia Rodrigo,"jealousy, jealousy",112,7,90748,España_limpio.csv
533,133,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,4,88,90192,España_limpio.csv
534,134,Justin Quiles,Ponte Pa' Mi,37,33,89988,España_limpio.csv
535,135,Don Omar,Dile,136,36,88994,España_limpio.csv
536,136,Bad Bunny,HACIENDO QUE ME AMAS,5,32,88978,España_limpio.csv
537,137,Ñejo & Dalmata,Pasarela,133,35,88699,España_limpio.csv
538,138,"KAROL G, Wisin & Yandel, Nicky Jam, Ivy Queen, Zion, Alberto Stylee",LEYENDAS,74,15,87675,España_limpio.csv
539,139,"MYA, TINI, Duki",2:50 Remix,140,2,87579,España_limpio.csv
540,140,Tiësto,The Business,90,24,87577,España_limpio.csv
541,141,Bacilos,Caraluna,94,237,86987,España_limpio.csv
542,142,"KAROL G, Camilo",CONTIGO VOY A MUERTE,80,10,86793,España_limpio.csv
543,143,"Bad Bunny, Daddy Yankee",La Santa,9,71,86368,España_limpio.csv
544,144,Christian Nodal,No Te Contaron Mal,51,141,85849,España_limpio.csv
545,145,Dimension Latina,Llorarás,71,63,85159,España_limpio.csv
546,146,Rels B,A Mí,84,70,85049,España_limpio.csv
547,147,Dua Lipa,Levitating,90,15,84550,España_limpio.csv
548,148,Los Enanitos Verdes,Lamento Boliviano,114,119,84513,España_limpio.csv
549,149,Ed Maverick,Fuentes de Ortiz,123,22,83951,España_limpio.csv
550,150,Carin Leon,Tu - En Vivo,76,39,83729,España_limpio.csv
551,151,Marbelle,Adicta al Dolor,89,31,82806,España_limpio.csv
552,152,Ed Sheeran,Shape of You,2,231,82705,España_limpio.csv
553,153,"Reik, Maluma",Perfecta,76,6,81950,España_limpio.csv
554,154,Boza,En La Luna,155,2,81521,España_limpio.csv
555,155,"Bad Bunny, Sech",Ignorantes,2,73,81481,España_limpio.csv
556,156,Fonseca,Te Mando Flores,92,237,81174,España_limpio.csv
557,157,Kevin Kaarl,Vámonos a Marte,116,17,80944,España_limpio.csv
558,158,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,159,1,80815,España_limpio.csv
559,159,Tones And I,Dance Monkey,3,95,80547,España_limpio.csv
560,160,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,1,62,79798,España_limpio.csv
561,161,Rauw Alejandro,Aquel Nap ZzZz,162,1,79707,España_limpio.csv
562,162,Olivia Rodrigo,brutal,67,7,79527,España_limpio.csv
563,163,De La Ghetto,Sensacion Del Bloque,164,14,79457,España_limpio.csv
564,164,"Jay Wheeler, Myke Towers, Rauw Alejandro, DJ Nelson, Jhayco, Lunay, Kendo Kaponi","La Curiosidad (feat. Dj Nelson, JHAYCO, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",50,29,79415,España_limpio.csv
565,165,Sech,Wao,62,12,79363,España_limpio.csv
566,166,"Becky G, El Alfa",FULANITO,167,1,78936,España_limpio.csv
567,167,"Bad Bunny, Mora",Una Vez,42,20,78753,España_limpio.csv
568,168,Camilo,Favorito,2,67,78697,España_limpio.csv
569,169,Andrés Calamaro,Flaca,138,160,78569,España_limpio.csv
570,170,"Juhn, Jay Wheeler",Fragancia,116,6,78529,España_limpio.csv
571,171,Bad Bunny,BOOKER T,10,32,78503,España_limpio.csv
572,172,Daddy Yankee,PROBLEMA,49,19,78354,España_limpio.csv
573,173,"Tony Dize, Yandel",Permitame (feat. Yandel),154,19,78149,España_limpio.csv
574,174,Paulo Londra,Adan y Eva,2,136,77987,España_limpio.csv
575,175,"BANDIDO, Duki, Rei, Tiago PZK","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",165,2,77966,España_limpio.csv
576,176,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,18,93,77933,España_limpio.csv
577,177,Don Omar,Ojitos Chiquitos,172,5,77887,España_limpio.csv
578,178,"Zion & Lennox, J Balvin",Otra vez (feat. J Balvin),1,225,77680,España_limpio.csv
579,179,"Aventura, Don Omar",Ella Y Yo - Featuring Don Omar,180,2,77370,España_limpio.csv
580,180,"Doja Cat, The Weeknd",You Right,180,2,77280,España_limpio.csv
581,181,Hombres G,Devuélveme a mi chica,149,38,76889,España_limpio.csv
582,182,"Morat, Juanes",Besos En Guerra,29,191,76769,España_limpio.csv
583,183,Justin Quiles,Jeans,11,47,76702,España_limpio.csv
584,184,"Reykon, J Alvarez, Jamby El Favo, KEVIN ROLDAN",La Suite - Remix,185,1,75999,España_limpio.csv
585,185,Grupo Niche,Sin Sentimientos,164,6,75767,España_limpio.csv
586,186,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",4,54,75729,España_limpio.csv
587,187,"Tainy, Yandel",DEJA VU,188,1,75625,España_limpio.csv
588,188,Queen,Bohemian Rhapsody - Remastered 2011,14,216,75597,España_limpio.csv
589,189,"Ryan Castro, Blessd",Lejanía,144,7,75188,España_limpio.csv
590,190,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,1,103,75129,España_limpio.csv
591,191,Maluma,Agua de Jamaica,28,23,74761,España_limpio.csv
592,192,Bad Bunny,La Difícil,4,58,74651,España_limpio.csv
593,193,Paulo Londra,Tal Vez,5,117,74131,España_limpio.csv
594,194,"Christian Nodal, Ángela Aguilar",Dime Cómo Quieres,89,33,73902,España_limpio.csv
595,195,Manuel Medrano,Bajo El Agua,42,236,73855,España_limpio.csv
596,196,Christian Nodal,Adiós Amor,75,103,73599,España_limpio.csv
597,197,"Mau y Ricky, Sebastian Yatra, Mora",3 de La Mañana - con Sebastián Yatra & Mora,126,3,73551,España_limpio.csv
598,198,Mike Bahía,La Rutina,59,5,73458,España_limpio.csv
599,199,Masked Wolf,Astronaut In The Ocean,71,18,72803,España_limpio.csv
600,0,Bad Bunny,Yonaguni,1,5,501999,Guatemala_limpio.csv
601,1,Rauw Alejandro,Todo De Ti,1,7,395974,Guatemala_limpio.csv
602,2,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,3,2,382067,Guatemala_limpio.csv
603,3,"J Balvin, Maria Becerra",Qué Más Pues?,4,6,322093,Guatemala_limpio.csv
604,4,"Gera MX, Christian Nodal",Botella Tras Botella,1,11,236140,Guatemala_limpio.csv
605,5,"Sebastian Yatra, Myke Towers",Pareja Del Año,3,12,222531,Guatemala_limpio.csv
606,6,"Bad Bunny, Jhayco",DÁKITI,1,36,199604,Guatemala_limpio.csv
607,7,"Los Legendarios, Wisin, Jhayco",Fiel,1,22,190056,Guatemala_limpio.csv
608,8,"Rauw Alejandro, Mr. Naisgai",2/Catorce,7,10,177143,Guatemala_limpio.csv
609,9,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Poblado - Remix,10,3,171835,Guatemala_limpio.csv
610,10,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",11,1,171218,Guatemala_limpio.csv
611,11,"Wisin, Jhayco, Anuel AA, Los Legendarios, Myke Towers",Fiel - Remix,12,4,165315,Guatemala_limpio.csv
612,12,"KAROL G, Mariah Angeliq",EL MAKINON,6,15,162431,Guatemala_limpio.csv
613,13,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,2,32,145956,Guatemala_limpio.csv
614,14,"Myke Towers, Juhn",Bandido,2,29,140134,Guatemala_limpio.csv
615,15,Måneskin,Beggin',16,3,139836,Guatemala_limpio.csv
616,16,"Mora, Jhayco",512,15,11,138361,Guatemala_limpio.csv
617,17,"Nio Garcia, Flow La Movie",AM,3,14,136219,Guatemala_limpio.csv
